COURSE,PREREQ1,CO/PRE,AND/OR,PREREQ2,CO/PRE,AND/OR,PREREQ3,CO/PRE,AND/OR,PREREQ4,CO/PRE
AN F311,CE F231,PRE,OR,CHE F212,PRE,OR,ME F212,PRE,OR,MF F218,PRE
AN F312,CE F231,PRE,OR,CHE F212,PRE,OR,ME F212,PRE,OR,MF F218,PRE
AN F315,ME F211,PRE,OR,CE F211,PRE,, ,,, ,
BIO F110, ,,, ,,, ,,, ,
BIO F111, ,,, ,,, ,,, ,
BIO F211,BIO F111,PRE,, ,,, ,,, ,
BIO F212,BIO F111,PRE,, ,,, ,,, ,
BIO F213,BIO F111,PRE,, ,,, ,,, ,
BIO F214,BIO F111,PRE,, ,,, ,,, ,
BIO F215,BIO F111,PRE,, ,,, ,,, ,
BIO F217,BIO F216,PRE,, ,,, ,,, ,
BIO F241, ,,, ,,, ,,, ,
BIO F242,BIO F111,PRE,, ,,, ,,, ,
BIO F243,BIO F111,PRE,, ,,, ,,, ,
BIO F244,BIO F110,PRE,, ,,, ,,, ,
BIO F311,BIO F211,PRE,OR,PHA F242,PRE,AND,BIO F243,PRE,, ,
BIO F312,BIO F211,PRE,AND,BIO F111,PRE,, ,,, ,
BIO F313,BIO F211,PRE,AND,BIO F111,PRE,, ,,, ,
BIO F341,BIO F243,PRE,AND,BIO F213,PRE,, ,,, ,
BIO F342,BIO F212,PRE,AND,BIO F213,PRE,, ,,, ,
BIO F352, ,,, ,,, ,,, ,
BIO F413, ,,, ,,, ,,, ,
BIO F417,BIO F211,PRE,OR,PHA F242,PRE,, ,,, ,
BIO F418, ,,, ,,, ,,, ,
BIO F419,BIO F111,PRE,, ,,, ,,, ,
BIO F421,BIO F211,PRE,OR,PHA F242,PRE,, ,,, ,
BIO F431,BIO F313,PRE,, ,,, ,,, ,
BIO F441, ,,, ,,, ,,, ,
BIO F451, ,,, ,,, ,,, ,
BIO G515,BIO F341,CO,, ,,, ,,, ,
BIO G526,BIO F243,PRE,, ,,, ,,, ,
BIO G545,BIO F342,PRE,, ,,, ,,, ,
BIO G561,BIO F311,PRE,, ,,, ,,, ,
BIO G561,BIO F311,PRE,, ,,, ,,, ,
BIO G570, ,,, ,,, ,,, ,
BIO G612,BIO F243,PRE,AND,BIO F311,CO,, ,,, ,
BIO G612,BIO F243,PRE,AND,BIO F311,CO,, ,,, ,
BIOT F211,BIO F111,PRE,, ,,, ,,, ,
BIOT F212,BIO F111,PRE,, ,,, ,,, ,
BIOT F213, ,,, ,,, ,,, ,
BIOT F215,BIO F111,PRE,, ,,, ,,, ,
BIOT F241, ,,, ,,, ,,, ,
BIOT F242,BIO F111,PRE,, ,,, ,,, ,
BIOT F243,BIO F111,PRE,, ,,, ,,, ,
BIOT F244,BIO F110,PRE,, ,,, ,,, ,
BIOT F245,BIO F111,PRE,AND,BIOT F212,PRE,, ,,, ,
BIOT F311,BIOT F211,PRE,AND,BIOT F243,PRE,, ,,, ,
BIOT F314,BIO F111,PRE,AND,BIOT F212,PRE,, ,,, ,
BIOT F342,BIOT F212,PRE,AND,BIOT F213,PRE,, ,,, ,
BIOT F343,BIOT F241,PRE,AND, ,,, ,,, ,
BIOT F344,BIO F111,PRE,AND,BIOT F212,PRE,, ,,, ,
BIOT F345, ,,, ,,, ,,, ,
BIOT F346, ,,, ,,, ,,, ,
BIOT F347,BIOT F342,PRE,, ,,, ,,, ,
BIOT F352, ,,, ,,, ,,, ,
BIOT F413, ,,, ,,, ,,, ,
BIOT F416, ,,, ,,, ,,, ,
BIOT F417,BIOT F211,PRE,, ,,, ,,, ,
BIOT F420, ,,, ,,, ,,, ,
BIOT F422,BIO F111,PRE,, ,,, ,,, ,
BIOT F423,CHEM F111,PRE,, ,,, ,,, ,
BIOT F424,BIOT F212,PRE,, ,,, ,,, ,
BITS F110, ,,, ,,, ,,, ,
BITS F111, ,,, ,,, ,,, ,
BITS F112, ,,, ,,, ,,, ,
BITS F113, ,,, ,,, ,,, ,
BITS F114, ,,, ,,, ,,, ,
BITS F214, ,,, ,,, ,,, ,
BITS F218, ,,, ,,, ,,, ,
BITS F219, ,,, ,,, ,,, ,
BITS F221, ,,, ,,, ,,, ,
BITS F223, ,,, ,,, ,,, ,
BITS F311, ,,, ,,, ,,, ,
BITS F312, ,,, ,,, ,,, ,
BITS F312, ,,, ,,, ,,, ,
BITS F313, ,,, ,,, ,,, ,
BITS F316,MATH F111,PRE,AND,MATH F112,PRE,AND,MATH F211,PRE,, ,
BITS F317,PHY F111,PRE,AND,BIO F111,PRE,AND,MATH F211,PRE,AND,MATH F113,PRE
BITS F323,ECON F212,PRE,, ,,, ,,, ,
BITS F341, ,,, ,,, ,,, ,
BITS F342, ,,, ,,, ,,, ,
BITS F343, ,,, ,,, ,,, ,
BITS F364, ,,, ,,, ,,, ,
BITS F385, ,,, ,,, ,,, ,
BITS F386, ,,, ,,, ,,, ,
BITS F399, ,,, ,,, ,,, ,
BITS F412, ,,, ,,, ,,, ,
BITS F415, ,,, ,,, ,,, ,
BITS F418, ,,, ,,, ,,, ,
BITS F421, ,,, ,,, ,,, ,
BITS F429,BITS/CHE/ME F243,PRE,OR,CHEM F333,PRE,OR,PHY F414,PRE,, ,
BITS F430, ,,, ,,, ,,, ,
BITS F437, ,,, ,,, ,,, ,
BITS F463, ,,, ,,, ,,, ,
BITS F464, ,,, ,,, ,,, ,
BITS F467, ,,, ,,, ,,, ,
CE F211, ,,, ,,, ,,, ,
CE F212, ,,, ,,, ,,, ,
CE F213, ,,, ,,, ,,, ,
CE F214, ,,, ,,, ,,, ,
CE F241,CE F211,PRE,, ,,, ,,, ,
CE F242, ,,, ,,, ,,, ,
CE F243, ,,, ,,, ,,, ,
CE F244, ,,, ,,, ,,, ,
CE F311,CE F211,PRE,, ,,, ,,, ,
CE F312,CE F212,PRE,, ,,, ,,, ,
CE F313,CE F243,PRE,, ,,, ,,, ,
CE F323, ,,, ,,, ,,, ,
CE F324, ,,, ,,, ,,, ,
CE F325,CE F243,PRE,, ,,, ,,, ,
CE F341,CE F212,PRE,, ,,, ,,, ,
CE F342, ,,, ,,, ,,, ,
CE F343,CE F211,PRE,, ,,, ,,, ,
CE F345,CE F211,PRE,AND,CE F243,PRE,AND,CE F313,PRE,, ,
CE F411,MATH F113,PRE,, ,,, ,,, ,
CE F412, ,,, ,,, ,,, ,
CE F413,CE F311,PRE,AND,CE F343,CO,, ,,, ,
CE F415,CE F311,CO,, ,,, ,,, ,
CE F416, ,,, ,,, ,,, ,
CE F417, ,,, ,,, ,,, ,
CE F419,CE F243,PRE,, ,,, ,,, ,
CE F420,CE F311,CO,AND,CE F343,PRE,, ,,, ,
CE F421,CE F311,CO,, ,,, ,,, ,
CE F422, ,,, ,,, ,,, ,
CE F423, ,,, ,,, ,,, ,
CE F425, ,,, ,,, ,,, ,
CE F426,CE F243,PRE,, ,,, ,,, ,
CE F427, ,,, ,,, ,,, ,
CE F428,CE F311,CO,, ,,, ,,, ,
CE F429,CE F243,PRE,, ,,, ,,, ,
CE F430,CE F311,PRE,, ,,, ,,, ,
CE F431, ,,, ,,, ,,, ,
CE F432,CE F241,PRE,, ,,, ,,, ,
CE F433, ,,, ,,, ,,, ,
CE F434, ,,, ,,, ,,, ,
CE F435,CE F241,PRE,, ,,, ,,, ,
CE G544, ,,, ,,, ,,, ,
CE G562,CE F214,PRE,, ,,, ,,, ,
CE G564,CE F311,PRE,AND,CE F343,PRE,, ,,, ,
CE G576,CE F435,PRE,OR,CE G619,PRE,OR,ME G512,PRE,, ,
CHE F211, ,,, ,,, ,,, ,
CHE F212, ,,, ,,, ,,, ,
CHE F213,BITS F111,PRE,, ,,, ,,, ,
CHE F214,CHEM F111,PRE,, ,,, ,,, ,
CHE F241, ,,, ,,, ,,, ,
CHE F242,MATH F211,PRE,, ,,, ,,, ,
CHE F243, ,,, ,,, ,,, ,
CHE F244, ,,, ,,, ,,, ,
CHE F311, ,,, ,,, ,,, ,
CHE F312,CHE F214,CO,AND,CHE F212,CO,AND,CHE F241,CO,AND,CHE F244,CO
CHE F313,CHE F244,PRE,, ,,, ,,, ,
CHE F314, ,,, ,,, ,,, ,
CHE F341,CHE F311,CO,AND,CHE F342,CO,AND,CHE F313,CO,, ,
CHE F342, ,,, ,,, ,,, ,
CHE F343,CHE F314,PRE,AND,CHE F313,PRE,, ,,, ,
CHE F411,CHE F244,PRE,, ,,, ,,, ,
CHE F412,CHE F341,CO,, ,,, ,,, ,
CHE F413,CHE F341,CO,, ,,, ,,, ,
CHE F414,CHE F212,PRE,AND,CHE F241,PRE,AND,CHE F244,PRE,, ,
CHE F415,CHE F213,PRE,, ,,, ,,, ,
CHE F416,CHE F312,PRE,, ,,, ,,, ,
CHE F417,CHE F341,PRE,, ,,, ,,, ,
CHE F418,CHE F242,PRE,AND,CHE F311,PRE,, ,,, ,
CHE F419,CHE F341,CO,, ,,, ,,, ,
CHE F421,CHE F311,CO,, ,,, ,,, ,
CHE F422,CHE F244,PRE,, ,,, ,,, ,
CHE F423,CHE F313,PRE,, ,,, ,,, ,
CHE F424,CHE F212,PRE,, ,,, ,,, ,
CHE F433,CHE F243,PRE,OR,ME F213,PRE,OR,MF F213,PRE,, ,
